xc,yc,zc,ux,uy,uz,state,szz,sxy,sxz,syz
24.504,1.4984,0.5,0.00965386,-0.00119499,2.34123e-07,4,-225659,2972.73,1.82846,-0.67401
25.5033,1.49846,0.5,0.00795113,-0.00112743,1.82063e-07,4,-220876,2308.01,-0.586452,-2.50614
26.5025,1.49849,0.5,0.00621642,-0.0010774,4.56727e-08,4,-217250,1807.66,3.53567,-0.82723
27.5018,1.49852,0.5,0.00445768,-0.00104113,-1.36377e-07,4,-214550,1363.47,4.94854,1.07218
28.5011,1.49853,0.5,0.00268169,-0.0010172,-2.63209e-07,4,-212659,864.685,3.63274,0.100724
29.5004,1.49854,0.5,0.000895097,-0.00100546,-3.09448e-07,4,-211655,298.042,1.30833,-0.81907
0.500577,2.49135,0.5,0.00238154,-0.0214631,2.37993e-06,4,-391473,3374.85,-6.50049,-15.7844
1.50172,2.49144,0.5,0.00707408,-0.0202134,1.37622e-07,4,-394530,9707.23,5.38676,-15.4446
2.50282,2.49158,0.5,0.0115146,-0.0180722,-5.41107e-07,4,-396945,14612.1,1.50793,-8.72319
3.50387,2.49173,0.5,0.0154464,-0.0156374,-3.9516e-07,4,-398917,16570.9,-7.74261,-1.37131
4.50485,2.49185,0.5,0.0186212,-0.0134777,-1.16635e-06,4,-402833,14772.3,-2.84067,17.7015
5.50575,2.49195,0.5,0.0209542,-0.0118527,-1.30098e-06,4,-410829,10600.1,-8.73804,16.4146
6.50656,2.49206,0.5,0.0225997,-0.010638,-6.33144e-07,4,-405581,9526.09,-7.81628,2.97401
7.50729,2.49225,0.5,0.0237665,-0.00960471,-1.88132e-07,4,-394271,11084.1,3.55097,13.0277
8.50792,2.49255,0.5,0.0245237,-0.00867899,-5.7965e-10,4,-386863,11411.8,25.2216,8.01108
9.50843,2.49294,0.5,0.0248934,-0.00785751,3.48024e-08,4,-380215,10590.9,-4.08893,-10.524
10.5088,2.49341,0.5,0.0249434,-0.0070991,2.03506e-08,4,-370597,11224.7,-2.53839,-7.45698
11.5091,2.49389,0.5,0.0247428,-0.00638045,-6.50279e-09,4,-357946,11611,10.4239,11.2057
12.5092,2.49435,0.5,0.0243284,-0.00571769,-1.25679e-09,4,-343157,12256.8,3.50379,7.56958
13.5092,2.49477,0.5,0.0237111,-0.0051302,2.28755e-08,4,-331654,12421.4,-5.04995,-6.86438
14.509,2.49513,0.5,0.0229012,-0.00462629,1.13346e-08,4,-322662,12437.6,-4.84333,-4.8975
15.5088,2.49546,0.5,0.0219447,-0.00418928,-8.03277e-09,4,-305358,12408.1,-1.5941,-3.62168
16.5084,2.49578,0.5,0.0208916,-0.00379947,-9.78862e-09,4,-286953,12495.6,-1.41676,3.99788
17.508,2.49608,0.5,0.0197579,-0.00344844,-8.38144e-09,4,-270263,12733.6,-0.751788,0.349902
18.5076,2.49637,0.5,0.0185482,-0.00313337,-1.91936e-08,4,-255663,12904.2,-4.49476,-4.49057
19.5071,2.49664,0.5,0.0172617,-0.00284912,-2.34953e-08,4,-242693,12681.2,-1.3433,-1.22344
20.5065,2.49687,0.5,0.0158895,-0.00258749,2.43206e-08,4,-231140,11251.9,2.2509,-1.78137
21.5059,2.49708,0.5,0.0144288,-0.00234708,1.11597e-07,4,-221171,9794.81,0.519541,-1.07113
22.5053,2.49725,0.5,0.0128909,-0.00213524,2.11912e-07,4,-213014,8418.63,3.43992,-0.221855
23.5046,2.49739,0.5,0.0112903,-0.0019582,2.77497e-07,4,-206111,7259.62,4.69379,1.40798
24.5039,2.4975,0.5,0.00963645,-0.00181743,2.59194e-07,4,-200181,6025.6,0.811418,0.785207
25.5032,2.49758,0.5,0.00793864,-0.00171074,1.91427e-07,4,-195465,4742.3,0.274604,-1.44329
26.5025,2.49764,0.5,0.00620715,-0.00163146,7.50543e-08,4,-191978,3672.7,1.31973,-1.64371
27.5018,2.49769,0.5,0.00445072,-0.00157313,-1.01901e-07,4,-189265,2660.86,2.91425,-0.453083
28.5011,2.49771,0.5,0.00267703,-0.00153384,-2.47376e-07,4,-187317,1585.79,4.1297,0.431337
29.5004,2.49773,0.5,0.000893394,-0.00151415,-3.08914e-07,4,-186286,519.592,1.41481,-0.390719
0.50055,3.48818,0.5,0.00185208,-0.0283321,1.98579e-06,4,-376563,4175.44,6.13001,-10.5903
1.50165,3.48828,0.5,0.00563377,-0.0270871,3.19915e-07,4,-376187,11026.8,-2.65715,2.2409
2.50274,3.48845,0.5,0.00954598,-0.0248173,-2.84046e-07,4,-375770,15170.3,-7.35978,-6.51065
3.5038,3.48864,0.5,0.013413,-0.0219688,-1.53428e-07,4,-374681,17327.5,15.9492,-2.78409
4.50479,3.48883,0.5,0.0168842,-0.0191058,-9.01031e-07,4,-375234,17861,-8.99495,11.6351
5.50568,3.48901,0.5,0.0196389,-0.016689,-1.18804e-06,4,-379152,16105.2,-4.00421,19.0811
6.50644,3.48921,0.5,0.0215988,-0.0148308,-6.14975e-07,4,-384133,13947.8,2.90772,14.614
7.5071,3.48949,0.5,0.022942,-0.0133128,-1.54334e-07,4,-371977,15002.5,16.4342,11.8499
8.50766,3.4899,0.5,0.0238341,-0.0119493,8.23026e-08,4,-360880,16853.9,13.0111,9.70052
9.50811,3.49042,0.5,0.02431,-0.0107404,1.23211e-07,4,-355881,16394.6,5.07297,-6.16934
10.5085,3.49102,0.5,0.0244275,-0.00967721,5.01794e-08,4,-346744,16233.1,-17.6997,-19.7145
11.5087,3.49165,0.5,0.0242819,-0.0086975,1.91622e-08,4,-334416,17064.3,-4.03324,0.555558
12.5089,3.49228,0.5,0.0239292,-0.00778306,-6.1625e-10,4,-318929,17655.2,2.312,10.7107
13.5089,3.49286,0.5,0.0233795,-0.00695623,5.20778e-09,4,-307251,17960.6,-1.29043,-3.68852
14.5088,3.49339,0.5,0.0226346,-0.00623745,8.79397e-09,4,-298047,18145.9,-0.912968,-2.91747
15.5086,3.49387,0.5,0.0217345,-0.00561938,2.9299e-09,4,-280904,17981.1,-1.51336,-4.372
16.5083,3.49432,0.5,0.0207298,-0.00507232,2.38168e-09,4,-262583,18231.4,-1.14567,-5.13891
17.5079,3.49475,0.5,0.0196404,-0.00457782,6.03813e-08,4,-245896,18442.9,3.27859,-4.16058
18.5074,3.49515,0.5,0.0184689,-0.00413084,8.71599e-08,4,-230791,18487.5,-7.16159,-1.33313
19.5069,3.49553,0.5,0.0172067,-0.00372186,4.35992e-08,4,-216984,17070.4,-3.15946,-1.39277
20.5064,3.49586,0.5,0.0158465,-0.00334561,3.85148e-08,4,-205038,15808.3,2.71985,-3.44353
21.5058,3.49615,0.5,0.0143954,-0.0030102,1.07304e-07,4,-195232,14364.8,1.07909,0.523872
22.5051,3.49639,0.5,0.0128681,-0.00272598,2.22158e-07,4,-187237,12668,4.15235,3.38354
23.5045,3.49658,0.5,0.011278,-0.00249066,2.92421e-07,4,-180335,11347.8,5.52636,0.568643
24.5038,3.49673,0.5,0.0096337,-0.00229885,2.6909e-07,4,-174025,9859.28,-0.829655,-2.29417
25.5031,3.49685,0.5,0.00794018,-0.0021516,2.05424e-07,4,-169319,7790,2.20749,-6.09934
26.5024,3.49693,0.5,0.00620582,-0.00204267,1.11515e-07,4,-165973,5756.51,-1.45895,-1.65632
27.5017,3.49698,0.5,0.00444476,-0.00196255,-5.48284e-08,4,-163271,3722.5,0.408321,1.99005
28.501,3.49702,0.5,0.0026703,-0.00190907,-2.31607e-07,4,-161448,1979.86,4.25269,-0.213789
29.5003,3.49704,0.5,0.000890535,-0.00188249,-3.33874e-07,4,-160559,608.03,1.19431,-2.24339
0.500524,4.48519,0.5,0.00136919,-0.034076,1.50289e-06,4,-360950,3548.33,-5.34741,-22.7516
1.50158,4.48529,0.5,0.00426255,-0.0330457,5.16127e-07,4,-357912,9829.66,-17.6067,0.27856
2.50264,4.48547,0.5,0.00751893,-0.0310142,-1.29771e-08,4,-354160,14112.1,-2.00299,3.32093
3.50368,4.48569,0.5,0.0110926,-0.0281648,-1.44483e-08,4,-352345,16825.5,6.88902,-1.50519
4.50466,4.48595,0.5,0.0146683,-0.0249055,-6.53005e-07,4,-350970,18790,4.07882,6.82031
5.50553,4.48624,0.5,0.0178073,-0.0217658,-1.04868e-06,4,-351709,19572.6,6.1454,9.9074
6.50626,4.48656,0.5,0.0201913,-0.0191333,-5.60462e-07,4,-355077,18671.8,-3.33048,2.12369
7.50685,4.48695,0.5,0.0218148,-0.0170136,-6.02891e-08,4,-353579,19256.3,5.35262,-2.96698
8.50734,4.48746,0.5,0.0228897,-0.0151793,2.04177e-07,4,-336807,21172.4,10.9418,6.72202
9.50774,4.48807,0.5,0.0235334,-0.0135429,1.99263e-07,4,-329824,22600.5,11.1476,0.595371
10.5081,4.48877,0.5,0.0237727,-0.0121327,4.51029e-08,4,-323626,21950.4,-9.01546,-20.6858
11.5084,4.48953,0.5,0.0237031,-0.0108861,8.71387e-09,4,-310616,22257.6,2.00622,-15.055
