case,H,theta,c_kPa,phi_deg,fos_flac3d,t_stage1_s,t_stage2_s
c10p15,10,45,10,15,None,,
c10p20,10,45,10,20,None,,
c10p25,10,45,10,25,1.05,,
c10p30,10,45,10,30,1.2,,
c20p15,10,45,20,15,1.05,,
c20p20,10,45,20,20,1.22,,
c20p25,10,45,20,25,1.38,,
c20p30,10,45,20,30,None,,
c30p15,10,45,30,15,None,,
c30p20,10,45,30,20,None,,
